
Conex�es ativas

  Proto  Endere�o local         Endere�o externo       Estado           PID
  UDP    169.254.230.77:137     *:*                                    4
  UDP    169.254.230.77:138     *:*                                    4
  UDP    169.254.255.96:137     *:*                                    4
  UDP    169.254.255.96:138     *:*                                    4
  UDP    172.27.208.1:137       *:*                                    4
  UDP    172.27.208.1:138       *:*                                    4
  UDP    172.27.208.1:1900      *:*                                    8172
  UDP    172.27.208.1:2021      *:*                                    24988
  UDP    172.27.208.1:2021      *:*                                    2844
  UDP    172.27.208.1:2021      *:*                                    36188
  UDP    172.27.208.1:2177      *:*                                    28296
  UDP    172.27.208.1:5353      *:*                                    4672
  UDP    172.27.208.1:51470     *:*                                    8172
  UDP    172.27.208.1:54922     *:*                                    38636
  UDP    172.27.208.1:58085     *:*                                    22600
  UDP    172.27.208.1:58088     *:*                                    22600
  UDP    172.27.208.1:59547     *:*                                    22600
  UDP    172.27.208.1:59550     *:*                                    22600
  UDP    172.27.208.1:64976     *:*                                    22600
  UDP    172.27.208.1:64979     *:*                                    22600
  UDP    192.168.15.23:137      *:*                                    4
  UDP    192.168.15.23:138      *:*                                    4
  UDP    192.168.15.23:1900     *:*                                    8172
  UDP    192.168.15.23:2021     *:*                                    2844
  UDP    192.168.15.23:2021     *:*                                    24988
  UDP    192.168.15.23:2021     *:*                                    36188
  UDP    192.168.15.23:2177     *:*                                    28296
  UDP    192.168.15.23:5353     *:*                                    4672
  UDP    192.168.15.23:51468    *:*                                    8172
  UDP    192.168.15.23:54921    *:*                                    38636
  UDP    192.168.15.23:58084    *:*                                    22600
  UDP    192.168.15.23:58087    *:*                                    22600
  UDP    192.168.15.23:59546    *:*                                    22600
  UDP    192.168.15.23:59549    *:*                                    22600
  UDP    192.168.15.23:64975    *:*                                    22600
  UDP    192.168.15.23:64978    *:*                                    22600
  UDP    [::]:123               *:*                                    45000
  UDP    [::]:443               *:*                                    9884
  UDP    [::]:3702              *:*                                    10852
  UDP    [::]:3702              *:*                                    10852
  UDP    [::]:3702              *:*                                    6568
  UDP    [::]:3702              *:*                                    6568
  UDP    [::]:5353              *:*                                    2132
  UDP    [::]:5353              *:*                                    21544
  UDP    [::]:5353              *:*                                    2132
  UDP    [::]:5353              *:*                                    38636
  UDP    [::]:5353              *:*                                    38636
  UDP    [::]:5353              *:*                                    2976
  UDP    [::]:5353              *:*                                    19600
  UDP    [::]:5353              *:*                                    21544
  UDP    [::]:5353              *:*                                    19600
  UDP    [::]:5355              *:*                                    2976
  UDP    [::]:50334             [2001:4860:4840:400::]:443                  38636
  UDP    [::]:50698             *:*                                    2976
  UDP    [::]:51780             *:*                                    4672
  UDP    [::]:52351             *:*                                    6568
  UDP    [::]:52845             [2800:3f0:4003:c08::54]:443                  19600
  UDP    [::]:54336             *:*                                    2132
  UDP    [::]:54426             *:*                                    6568
  UDP    [::]:55659             [2800:3f0:4001:839::200e]:443                  19600
  UDP    [::]:57122             *:*                                    4420
  UDP    [::]:58252             [2800:3f0:4001:846::2003]:443                  19600
  UDP    [::]:60549             *:*                                    5352
  UDP    [::]:61462             *:*                                    10852
  UDP    [::]:61947             *:*                                    5656
  UDP    [::]:62144             [2800:3f0:4001:839::200e]:443                  19600
  UDP    [::]:64414             *:*                                    2976
  UDP    [::]:64917             [2001:4860:4829:7700::]:443                  19600
  UDP    [::1]:1900             *:*                                    8172
  UDP    [::1]:5353             *:*                                    4672
  UDP    [::1]:51466            *:*                                    8172
  UDP    [2804:7f1:ec41:be15:2d51:a54f:f4cd:a475]:5353  *:*                                    5656
  UDP    [2804:7f1:ec41:be15:7c35:4be3:db9b:ac15]:5353  *:*                                    5656
  UDP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:2177  *:*                                    28296
  UDP    [2804:7f1:ec43:f13:237f:1e0c:d094:62b1]:54923  *:*                                    38636
  UDP    [2804:7f1:ec43:f13:7c35:4be3:db9b:ac15]:2177  *:*                                    28296
  UDP    [2804:7f1:ec43:f13:7c35:4be3:db9b:ac15]:58083  *:*                                    22600
  UDP    [2804:7f1:ec43:f13:7c35:4be3:db9b:ac15]:58086  *:*                                    22600
  UDP    [2804:7f1:ec43:f13:7c35:4be3:db9b:ac15]:59545  *:*                                    22600
  UDP    [2804:7f1:ec43:f13:7c35:4be3:db9b:ac15]:59548  *:*                                    22600
  UDP    [2804:7f1:ec43:f13:7c35:4be3:db9b:ac15]:64974  *:*                                    22600
  UDP    [2804:7f1:ec43:f13:7c35:4be3:db9b:ac15]:64977  *:*                                    22600
  UDP    [fe80::931a:a882:81fa:3dbe%51]:1900  *:*                                    8172
  UDP    [fe80::931a:a882:81fa:3dbe%51]:2177  *:*                                    28296
  UDP    [fe80::931a:a882:81fa:3dbe%51]:51467  *:*                                    8172
  UDP    [fe80::cf50:fdeb:54f4:85f8%21]:1900  *:*                                    8172
